time,Time.Time_sweep,192.168.1.207:5000.T
0.0,1.000e+00,
1.02,1.010e+00,
2.03,1.020e+00,
3.04,1.030e+00,
4.05,1.040e+00,
5.07,1.050e+00,
6.09,1.060e+00,
7.1,1.070e+00,
8.11,1.080e+00,
9.13,1.090e+00,
10.13,1.100e+00,
11.14,1.110e+00,
12.15,1.120e+00,
13.16,1.130e+00,
14.17,1.140e+00,
15.18,1.150e+00,
16.21,1.160e+00,
17.22,1.170e+00,
18.23,1.180e+00,
19.25,1.190e+00,
20.27,1.200e+00,
21.29,1.210e+00,
